gene,pval,mean_leve,mean_grave,log2fc,log2fc_div
NUDCD1,0.4015072317304742,4.388097509178571,4.485658061568966,0.025888737543353635,0.031724064389258004
ATG9B,0.40155269724222653,3.4308735486250006,3.3690014795344827,-0.020287560427383777,-0.026254891568282125
C14orf167,0.4015755725323389,4.8960839471875,5.015757247482759,0.02898928607334783,0.03483923192717239
LOC219347,0.4016639020120437,3.7385815709107146,3.8044705506206893,0.019922182881661143,0.02520468386751429
RPL23AP53,0.4016686851838406,5.009402964732144,5.072546226103448,0.015079901100976123,0.01807143825893642
LOC100128788,0.40172096223334164,3.2325228552678564,3.1677857305517243,-0.022236749243663922,-0.029185815886520035
WDR18,0.40195217383671233,4.240087021517858,4.294257758482759,0.014837665575980097,0.01831491583250372
CKMT1A,0.4019679814242507,3.588387562857143,3.518548235448276,-0.022127931678237456,-0.028355425649158703
PSPH,0.4019816907927316,3.5911483072083334,3.8017083200114934,0.06469273367967654,0.08220261312476235
C11orf40,0.4021564561648511,1.8963401507678572,1.8591097282758617,-0.018665055288906274,-0.028605843438639866
GADD45GIP1,0.40225600738707135,5.092186939386904,5.020706678724138,-0.017027378909740154,-0.020394941128269665
APOL5,0.40229111824865527,3.7372487005714286,3.6864177635862068,-0.015563847089367311,-0.01975699935904649
ITM2A,0.4022956244628527,7.009931555026786,7.121148088913793,0.01989378118053109,0.022709496936903384
PCDHGB8P,0.40248632687664865,2.4067971673392856,2.3536648544827585,-0.02267753367547498,-0.03220565865918973
CAMK2N2,0.4024951497954703,3.1989648617857145,3.117354453396552,-0.028316063072010067,-0.03728294219029042
CPXM1,0.4026261585132389,4.959327760410714,4.885449841724137,-0.017996908451189064,-0.021653167194086616
ANXA5,0.40265108855743936,7.627258918125,7.703126879206897,0.012631574590478145,0.014279513409842645
CRTC2,0.40266987507305196,6.473945644821428,6.407294827620688,-0.012923310607554583,-0.014929876016008784
C21orf104,0.40269569774141045,3.7279385195535713,3.79083851375862,0.019066909592697634,0.02413893279421196
LYZ,0.40277007743842874,10.093736996785717,10.306949518431033,0.027464331231501493,0.03015700944381262
LOC340094,0.40280660914547295,2.446600629107143,2.4005652143448275,-0.019399578405840945,-0.027404493150841876
ITIH4,0.40288286043403243,4.426588892254465,4.261040541379311,-0.04469744960066979,-0.05498961516289989
MTX2,0.402961747833424,5.48491648369643,5.588635502827588,0.022891721267552345,0.027026430314297394
ABCC5,0.402994947335648,6.74278526620238,6.491019860218391,-0.047690484991803395,-0.05489948335929946
LOC401321,0.40300801330940017,2.4778891769345237,2.5689704676091956,0.037296001627517006,0.05207864069603937
FLJ12825,0.4030495715092187,4.213865556446429,4.147233469551725,-0.01855616018158779,-0.022995019234608508
ATL1,0.4030643106094446,3.3563367303928566,3.252416809310345,-0.03483246141280727,-0.0453753079634173
CCBE1,0.4030672037984917,1.826956085392857,1.862765449356322,0.018160000846662694,0.02800407208595236
PKD2L1,0.403281180095747,3.9313214049821426,3.878594258724138,-0.015508782659771292,-0.019480453178366823
CYP2B6,0.4034296890873408,3.4265573045535715,3.581429703275862,0.04961278482694764,0.06377581060838092
CLDN5,0.40343699621441087,5.174146864999999,5.088087309931034,-0.020250752042595632,-0.024197577607298546
ACAA1,0.4034701435917072,7.761287899803571,7.710562815586206,-0.008377021330137069,-0.009459901210217555
SLC30A4,0.40356058793157834,2.1363297950446425,2.1754796149482756,0.017897237290224854,0.026199118674424343
FAAH,0.4035979893579804,4.899992086535714,4.974006847793104,0.01798587192340939,0.0216290744530491
VSIG10L,0.4036842218849329,3.1038415633035714,3.219928123172413,0.040243392126802835,0.05297356762421128
NLRP1,0.40371510046606085,6.39686672522619,6.221017581488507,-0.03471212676215263,-0.04021484239283497
TYRO3P,0.40376691110756235,2.8060353759464287,2.720920242775862,-0.03262950418903765,-0.04443852918502675
RBM11,0.4039084116936139,2.4483685751964286,2.552632637310345,0.04297452981108063,0.060165170519201595
TOR1B,0.4039808848494756,8.787536560482142,8.903974480827587,0.017061805748519454,0.01899067134007245
ATG4D,0.404173198775698,7.474668734071428,7.414713302931035,-0.010242857474867417,-0.011618732123926273
RGS19,0.4041745622006686,8.383177650660715,8.446933739896552,0.009769559335181643,0.010930531786490724
SPC25,0.4041866301473265,2.3918934754107144,2.504089641965517,0.04694882072762563,0.06613306954732441
SCGB3A2,0.4042229284397134,3.261473978107143,3.170388158689655,-0.031170854033252038,-0.040864633922915
SERPINB4,0.4042577287865087,1.654595025785714,1.6903747102241382,0.01931533644004224,0.030864938225436536
CRYZ,0.40435410112832026,6.280356221410715,6.415820058034482,0.02659719601146504,0.030787288653662613
SECTM1,0.4045767121715328,7.850222924232143,7.936278284344828,0.013960318397808091,0.015728991421682582
APOLD1,0.4047335678839883,3.9976231083571427,3.912474874862069,-0.02479207722253296,-0.031060975370656742
CYP2C8,0.4049135624463698,2.006965350642857,2.0434115552068963,0.017381196377879604,0.025964091241712874
TFAP2B,0.40497047185791846,2.5506339817738097,2.599621468275862,0.01976855516257303,0.027445681471849847
C4orf3,0.4050296851195261,9.48390019142262,9.535340341172414,0.0070613966275647755,0.007803953031298382
JAG1,0.40504335475264974,4.954502433575,5.086335079117242,0.03159280311079593,0.03788632848376551
SLTM,0.40506161659233075,8.637308266160714,8.709560463344827,0.010775735612224224,0.012018133184737557
GSTA1,0.40507529203409454,3.8538055524642862,3.6767701521724137,-0.05360378727276016,-0.06784478945651963
CACNG6,0.40509045635213403,2.751260026,2.705382111724138,-0.0177529438543389,-0.024260120934471642
FAM75A3,0.4051063195888457,3.529463611267857,3.6290745949310343,0.03138359766956533,0.04015276425182065
KLHL26,0.4053529178820585,4.307590791392857,4.245050796448276,-0.01710040015605463,-0.021099387326731788
HTRA2,0.4053843841482183,7.204715167589285,7.111508847999999,-0.016482950667208396,-0.018785707021639394
TRAF3IP3,0.40540847674687464,7.841497560903572,7.701716909172413,-0.02299066925241,-0.02594910983621403
GPR89A,0.4054149490908031,7.711055773589286,7.6532410580862065,-0.009606989833507829,-0.010857561259535478
GOLGA6L6,0.405478166600139,3.2949485228749995,3.3980295494137933,0.034216457343454465,0.04444247219433016
LOC283482,0.40555633983596184,2.594406093535714,2.649791689724138,0.02206071239684726,0.03047463095134315
PYGO1,0.405611993685574,1.9625412844464283,1.9131229137816093,-0.0242686842187656,-0.03679343664500263
TSTA3,0.40566102745995813,6.864062728392857,6.737997265913793,-0.02331461047903982,-0.026742894153738275
SLC25A11,0.4056693431462942,6.9468841444017855,6.824329367327587,-0.022422209680103222,-0.025678759080672194
MYO9A,0.4057409770319236,4.5922594403214285,4.689706194810346,0.024922863669597728,0.03029339266739058
SLC23A1,0.40591263812164013,2.4055197011250002,2.4732086595517244,0.028394107671830815,0.040035346997814455
C6orf221,0.4060362543443864,4.363898323625,4.432786263689656,0.018410399488140605,0.02259631346961141
RBM19,0.40605113134230586,5.037950571133929,4.912401400637931,-0.030314727216012027,-0.03640851684180098
FCGBP,0.4060516057625574,5.711709906642857,5.845595458137931,0.02849567751218185,0.033427283667731504
POPDC3,0.40611029295841683,2.3336060209642855,2.386252076586207,0.02260576227940314,0.032185439437154156
PLXNA2,0.40615691035292467,3.542075829285714,3.432600765298851,-0.035198363873702565,-0.04529302599552623
PRB4,0.40632809455257857,3.8664006734642853,3.772401977862069,-0.028139543094168662,-0.03550773693852034
RNF214,0.4063933329510647,6.200403886339286,6.112717636793103,-0.01767694067773684,-0.020548267263113096
PDCD1,0.40640135902058416,4.903728011714286,4.841085305344828,-0.015389802525713314,-0.018548444956228382
DIRAS2,0.4065126490972488,1.7050265995089287,1.666045934051724,-0.02094114342837483,-0.03336606903013454
SLC5A1,0.40665938932396917,3.0219502926875,3.092434233051724,0.02506398076189953,0.03326298349852854
JMJD7,0.4067600067545134,5.3391182165535715,5.282434154551725,-0.012958527217117766,-0.015398613810528447
LRRC10B,0.40682036344774,2.2530592644285714,2.3114163031724138,0.025651288511574943,0.036891860559851435
EIF3I,0.4069393534561109,7.461047083696428,7.367888712517241,-0.01597254806424786,-0.018126842016772803
TMEM70,0.40718484857828985,5.459329227261905,5.58907433294253,0.028691447041865548,0.03388566045176709
SEC14L3,0.40721816718474746,3.3812552534940474,3.292955296356322,-0.02937311932638975,-0.03817600376945776
DACH1,0.4072846192053251,2.8351206173392858,2.7474659905747125,-0.03335656692845301,-0.0453084915467981
RPS6KA3,0.4073428689843406,7.6504515197678575,7.740655778586207,0.014966086020280933,0.0169108985339583
ARHGDIG,0.40735174598793344,4.107985141607143,4.034552703551724,-0.020890721232267317,-0.026022227581749137
HSD3B2,0.4073811746573006,2.067105602107143,2.1207371610344827,0.02500901351999496,0.036953734334579665
MEGF8,0.4073850215288549,4.4515104485089285,4.325152519551724,-0.03383316573394879,-0.041543934140542096
PRPF8,0.4074079898776044,6.784161952232142,6.696545798862069,-0.016330615070909715,-0.018753491609740682
BID,0.407450814241213,7.64088328295238,7.551449856494251,-0.01500975157081541,-0.01698575855220144
PSG6,0.40746687933933434,2.1538027233928574,2.206714403494252,0.024003450628487855,0.035013812880709
LOC100288202,0.4075038994233059,3.8706097447321426,3.7889333285517246,-0.024398042023551003,-0.030769100963937587
PCDHB8,0.40782188885989945,2.6396967910535714,2.6823862154827585,0.016822677018005328,0.02314475055718518
ESRP2,0.40784714189893867,4.667514729642856,4.567565153913792,-0.025669699360834297,-0.031229266999466262
OTUD7A,0.407887108652795,3.4571290226339286,3.411372876189655,-0.014887012950480116,-0.019221991367463366
DBF4,0.4079058825828248,4.631495269499999,4.508784806344828,-0.03178392928308371,-0.03873938486750926
DNAJC5G,0.407964112004094,2.1617881245714288,2.1034554483103447,-0.026865258669790837,-0.039463870607471904
LOC100129449,0.4079752186457972,1.7740745183392856,1.8244921472758622,0.025984947207737585,0.04042833152308797
OPN4,0.40816209400000514,3.154735647339286,3.2076825744482758,0.01826918671159916,0.02401226385972382
DPY19L2,0.408259886548199,2.4761471290297616,2.550360871827586,0.030476526967507356,0.04260436055848019
OMA1,0.40832405168100516,7.138142859053572,7.22372802337931,0.015092946175573108,0.017194800702805692
TREML4,0.40839461651268016,4.521783370791667,4.789856940689655,0.06839341207814709,0.083090690200198
SPATA16,0.40840458250314904,3.343730157785714,3.416101994827586,0.02383901067124805,0.030892625011440397
EPHX3,0.40859693518413276,3.490296395857143,3.5467412022068965,0.018022211436000024,0.02314450862155741
GYS1,0.40878941561499804,5.480556140357143,5.3795064211724135,-0.022672818039314535,-0.02684848919633865
BACE1,0.40887907679294244,3.98970840828125,3.8894629795689655,-0.029279489384040236,-0.036712334318018236
FRZB,0.40898751423856194,1.9232013006011905,1.9594344988850574,0.017772345023222336,0.02692756968626916
FAM105A,0.4090823133975806,5.969362736619049,6.093883699620689,0.02554893303799588,0.029785042961887335
IL33,0.4091669017099768,1.553663172517857,1.5025807354827585,-0.02915163406470933,-0.04823125680408021
SYNPO,0.4092904952283474,3.6339847376845236,3.5555248963793096,-0.02463599889070034,-0.031489802133866276
LOC285084,0.4092977678861215,2.5195009338392858,2.6079057382758624,0.0357907777754658,0.04975373383340768
LAPTM4B,0.4093037866680965,4.048494549566965,3.918662964939655,-0.03758704081825348,-0.04702403980571978
GALNT10,0.40935654814821143,6.395210188315477,6.237937747528735,-0.031012453158381525,-0.03592262107018261
ARFIP2,0.4094047815748528,5.504395250196429,5.4029626624137945,-0.022675330593643128,-0.026833356191181993
SPATA24,0.4094330194648105,4.092865232625,4.039193915465517,-0.015284566785076947,-0.019043754113172537
RGS10,0.4094390943763818,9.165642043869049,8.905181493045978,-0.0374460210828631,-0.04159092898588461
SECISBP2,0.40952486082245276,7.199033217544644,7.14314680551724,-0.009867393906926036,-0.011243403364847629
KIR2DL4,0.40956607376863097,4.2064938304107145,4.268795303689655,0.017160974784106386,0.02121075615034583
ASAP3,0.40964343831504657,3.636291902508929,3.573926239758621,-0.019538301084650378,-0.02495815647828275
FLJ43390,0.4096513728723893,2.2955797736071424,2.3647894223275863,0.029983926748942125,0.04285315349192077
TRMT61B,0.4097637823873691,5.2112453725000005,5.341091597137932,0.029848654800158414,0.03550644001964946
TAB1,0.40978161759624976,4.271223946174108,4.22827782337069,-0.011802179815560088,-0.01457936885201001
TCTN1,0.4098857679882011,4.559009381732143,4.65327885587931,0.024260044826537985,0.02952726766330326
OR51I1,0.4100115897089335,3.146155217125,3.080819975724138,-0.02291505887086176,-0.030275466017265055
AFAP1,0.41002563083598,1.8367112209642857,1.7623196086206894,-0.03833903742541467,-0.05964922436807131
C2orf52,0.41003501350658367,2.434266498607143,2.499965142793103,0.027338557274315445,0.03842085936590058
TSSK3,0.41014448306838336,3.831657070232143,3.767821103603448,-0.01918795759502334,-0.024237979658155707
DOT1L,0.41022971773459527,4.561254219285714,4.447885535011495,-0.029713896619925073,-0.03631091912423853
ACOT6,0.41029213955645116,3.8507975979464284,3.7958593808965513,-0.01643262538932122,-0.020730747384508905
CDC37,0.41042491227949784,6.815397513714286,6.725982415275863,-0.016600860805025874,-0.01905279884991258
LOC647288,0.41044934530933663,2.7545818498214283,2.698653028310345,-0.021652275639290952,-0.02959383358391285
LOC79999,0.41074326184776944,4.406496510017857,4.32310197024138,-0.022426805994544274,-0.02756519659313827
CTTN,0.41074456392068426,5.162220561011904,5.025550915367816,-0.032357168100559885,-0.03871002598348484
FKBP9,0.41088794653645133,6.920291409517858,6.8039439742413785,-0.02135009139244115,-0.02446152874775972
LOC100128416,0.41094238497749613,4.994689235482143,4.9035255318275865,-0.022108190097477554,-0.02657552806742802
BCHE,0.4109897097346481,1.7584031973214285,1.8135706018965514,0.028568814095569328,0.04456699552721111
CNTROB,0.4110286232036452,5.001812606723214,4.932068152034484,-0.01686310204188768,-0.02025827260743991
PCDHB14,0.41106552928254947,2.733095543571429,2.675579015,-0.022400896948471027,-0.03068475935431393
BLM,0.4112420277213995,5.8922081800357144,5.995999514862067,0.021563910205301795,0.025191862829581527
C3orf70,0.41128476665218705,1.8969989959732143,1.8526602733793103,-0.022251239682976376,-0.03412055989802582
RBM24,0.4112928567455145,1.4957203455714285,1.5379619924827586,0.024214180013505615,0.04017939040934703
LOC100144602,0.4112944630519574,2.7021293409999996,2.7954036051379307,0.03589801130693826,0.048959864051156356
OVOL2,0.4113073179135739,2.915024224955357,2.9771687924827583,0.02272055744875523,0.030433145592062352
INGX,0.4113324124522548,3.162801156964286,3.0983324315517247,-0.022517635770262334,-0.0297109129842504
UGT2A1,0.4114518810207718,2.238233017357143,2.1725439954827586,-0.0295666322037893,-0.04297484695378745
ACTB,0.41152325926979605,12.844679522380954,12.82801635724138,-0.0017374431983401273,-0.0018727966241604034
C3,0.4117505416672098,4.533663056517857,4.6269237854827585,0.02411162152865831,0.02937616163528622
GNAI3,0.41177307100173655,7.768419776065476,7.853975009977011,0.014008434489882315,0.015801846944678836
LOC440863,0.4117821458812432,4.075519106892857,4.15022354975862,0.02107967123591914,0.026205218658823737
TGIF2,0.4117894163769007,7.101797292044643,7.042705785948275,-0.010561043977853402,-0.012054367453750625
NCRNA00226,0.41189728912742596,1.8342758479464287,1.7913931588275862,-0.021994838714739062,-0.034128613454126634
SRRM2,0.41190377554370905,7.0788355526383935,6.85398263599138,-0.04072295590655495,-0.04656952387767303
LMF2,0.41192591841507864,6.579093253419643,6.516154832948275,-0.012030471144876653,-0.013867877211801471
APRT,0.41201591060813947,8.0259135244375,7.956642138913793,-0.01111499172534991,-0.012505898588909173
EPO,0.412133651474047,4.579645261910714,4.507598389534482,-0.018750039562164922,-0.02287686947544642
MIR101-1,0.41217095776212154,7.564334560249999,7.63988570237931,0.012671072223695123,0.014337881631401764
DLL1,0.41229758987282117,3.6987699514464287,3.632646078706897,-0.02044666742136325,-0.02602475968007465
ATP6V0E2,0.41231802318085875,7.557608530982144,7.434828615655173,-0.02084892898868862,-0.023630305513347157
CPO,0.4124082406065043,3.0982182205892856,3.028528052965518,-0.02474400466941251,-0.03282198781018694
UTF1,0.4124410961422613,4.476078845446429,4.404083806275862,-0.019093170812485294,-0.023393526867740776
UBE2O,0.41246192070825893,5.156648897964286,5.048069128120689,-0.025670667385690127,-0.030702153062881266
SUSD1,0.41247988886642795,7.066727795125,6.985293926241379,-0.01463806226207831,-0.016721516142240468
KANK4,0.4124958033099676,2.9251078675,3.0126941283793105,0.03183888759403164,0.04256437989240484
APOC4,0.41250317517068613,4.774314056142857,4.708906578034483,-0.016435121786553708,-0.019901369862521237
GBP5,0.4125032145332488,8.627880933964287,8.809860786827587,0.02701436268495483,0.030112954669001258
C15orf34,0.4125033722651552,2.8271638860892856,2.7947795806551725,-0.012259591848519547,-0.0166210115392957
CD58,0.4126051460719041,6.531975761428571,6.656208627717242,0.02360178581377559,0.027181215629165863
CCR7,0.4126556552555931,7.224462457732144,7.082677645379309,-0.025088077872445158,-0.028595364399013234
TRIM78P,0.41281131151957495,4.026941652892857,4.153228058448275,0.035795497085427286,0.044548524995478886
SLC16A2,0.412814467039868,2.0473026718392857,2.104916923931035,0.027021865673330536,0.04003888948443628
LHX2,0.4128933946713921,2.1680618665267857,2.2196647054310343,0.0233099455681125,0.033935839539517176
FLJ44450,0.4130614978895123,2.2864143591071424,2.3525538443103446,0.028746112734024498,0.041140861190258386
ZNF239,0.4130833644765287,2.7504212318571426,2.668962018137931,-0.031680672687490974,-0.04337381213913256
MRPL45,0.41314857914971104,6.166335745214285,6.0639603244137925,-0.020758395936532725,-0.024153129373763845
PREB,0.4132338525204955,7.259942656732142,7.178334074482759,-0.014324769696447692,-0.016309086316352167
OR2C3,0.41327488108325705,2.209821408714286,2.1625649668965514,-0.02139791282542447,-0.031186305687896668
SYNE1,0.41329515200379285,5.2291372078642855,5.080778425048276,-0.0347763299872339,-0.04152337675289819
